timestamp,sample_num,lc1,lc2,lc3,lc4
1757512330.298464,9915,-195840,-2719233,-106240,9727
1757512330.299378,9916,-206848,-3096065,-102912,22015
1757512330.300312,9917,-202752,-2195457,-106240,13823
1757512330.301215,9918,-214272,-3829249,-96000,15871
1757512330.302136,9919,-212224,-2087937,-104704,11775
1757512330.303004,9920,-209920,-2542593,-100864,14591
1757512330.303925,9921,-213248,-2061825,-97792,12287
1757512330.305059,9922,-205824,-2714881,-102144,16895
1757512330.305813,9923,-204032,-2536705,-96512,16383
1757512330.306789,9924,-207360,-4019201,-103680,12799
1757512330.307657,9925,-205824,-3484417,-104192,5631
1757512330.308730,9926,-214016,-2250241,-96512,9471
1757512330.309376,9927,-205824,-3599873,-105984,15359
1757512330.310401,9928,-208640,-1923585,-92416,19967
1757512330.311453,9929,-201216,-3364097,-105472,21247
1757512330.312386,9930,-211456,-1976065,-101376,18431
1757512330.313183,9931,-209664,-3042305,-102144,20991
1757512330.314094,9932,-202496,-2191361,-97792,18687
1757512330.314979,9933,-207616,-2668289,-100352,9215
1757512330.315959,9934,-207104,-2226689,-96768,17151
1757512330.316967,9935,-201728,-3358977,-100608,12031
1757512330.317771,9936,-208640,-2064129,-105984,15103
1757512330.318679,9937,-202752,-3580161,-93440,17663
1757512330.319589,9938,-204800,-4536321,-88832,18175
1757512330.320506,9939,-213760,-2028545,-98816,9215
1757512330.321432,9940,-205568,-3853569,-96768,14079
1757512330.322369,9941,-207104,-2022401,-102144,19967
1757512330.323183,9942,-214016,-2966273,-93952,19967
1757512330.324159,9943,-203520,-1983745,-98048,20991
1757512330.325182,9944,-208640,-3609857,-97536,24575
1757512330.326081,9945,-204288,-2099969,-99584,19455
1757512330.326949,9946,-202752,-2545665,-98816,17663
1757512330.327897,9947,-205056,-2077953,-105472,14847
1757512330.328925,9948,-209408,-2771713,-95744,17407
1757512330.330003,9949,-210688,-2147329,-99072,14591
1757512330.330636,9950,-217856,-3399425,-97024,16383
1757512330.331556,9951,-212224,-2883073,-107008,17919
1757512330.332467,9952,-212736,-3284993,-99328,18687
1757512330.333256,9953,-198912,-3619585,-98304,11007
1757512330.334296,9954,-203776,-3382273,-102912,20479
1757512330.335262,9955,-209152,-2987521,-106240,14079
1757512330.336181,9956,-210944,-3363585,-100608,19967
1757512330.337098,9957,-202752,-3536129,-103680,23551
1757512330.337880,9958,-209408,-2945793,-94720,21503
1757512330.338903,9959,-203264,-2836993,-106240,18687
1757512330.339851,9960,-208896,-2851329,-104960,18687
1757512330.340658,9961,-211968,-2788609,-114432,15871
1757512330.341565,9962,-206848,-2167297,-103680,11775
1757512330.342484,9963,-207104,-3825665,-94464,15103
1757512330.343446,9964,-210432,-7664641,-101632,19711
1757512330.344495,9965,-212224,-2879233,-114176,13823
1757512330.345509,9966,-205312,-3974145,-97536,13823
1757512330.346344,9967,-197632,-2900481,-105984,8447
1757512330.347189,9968,-203520,-3196673,-98560,14847
1757512330.348077,9969,-202240,-2974721,-93696,12799
1757512330.349034,9970,-209152,-4068353,-108288,3839
1757512330.349896,9971,-211456,-2349569,-108544,21503
1757512330.350764,9972,-212224,-2997505,-94720,18687
1757512330.351641,9973,-205568,-2682625,-99072,20991
1757512330.352653,9974,-206336,-3159297,-100864,22015
